x,cf,cp
3.011947274E-01, 3.103296505E-03,  8.455599844E-02
3.038803041E-01, 3.089211415E-03,  8.601599932E-02
3.065784574E-01, 3.074656706E-03,  8.754199743E-02
3.092890978E-01, 3.059688723E-03,  8.913700283E-02
3.120122850E-01, 3.044389421E-03,  9.080000222E-02
3.147479594E-01, 3.028843086E-03,  9.253399819E-02
3.174961209E-01, 3.013110952E-03,  9.434299916E-02
3.202567399E-01, 2.997170668E-03,  9.622699767E-02
3.230297565E-01, 2.980859485E-03,  9.818200022E-02
3.258152306E-01, 2.963934792E-03,  1.002100036E-01
3.286130428E-01, 2.946258523E-03,  1.023100019E-01
3.314232230E-01, 2.927949652E-03,  1.044799984E-01
3.342457414E-01, 2.909332048E-03,  1.067299992E-01
3.370805681E-01, 2.890612930E-03,  1.090399995E-01
3.399276435E-01, 2.871766686E-03,  1.114099994E-01
3.427869678E-01, 2.852762351E-03,  1.138499975E-01
3.456584811E-01, 2.833656035E-03,  1.163399965E-01
3.485421836E-01, 2.814525738E-03,  1.188900024E-01
3.514380157E-01, 2.795395907E-03,  1.215000004E-01
3.543459177E-01, 2.776243957E-03,  1.241400018E-01
3.572659194E-01, 2.757136477E-03,  1.268199980E-01
3.601979017E-01, 2.738181036E-03,  1.295399964E-01
3.631418645E-01, 2.719338983E-03,  1.323000044E-01
3.660977483E-01, 2.700604964E-03,  1.350599974E-01
3.690654933E-01, 2.682231367E-03,  1.378500015E-01
3.720450699E-01, 2.664207015E-03,  1.406600028E-01
3.750364482E-01, 2.646337030E-03,  1.434600055E-01
3.780395389E-01, 2.628996968E-03,  1.462399960E-01
3.810542822E-01, 2.612199401E-03,  1.490499973E-01
3.840806186E-01, 2.595734550E-03,  1.518200040E-01
3.871185184E-01, 2.579977270E-03,  1.545500010E-01
3.901678622E-01, 2.564765746E-03,  1.572799981E-01
3.932286203E-01, 2.550203586E-03,  1.599300057E-01
3.963007331E-01, 2.536518266E-03,  1.625699997E-01
3.993840814E-01, 2.523493720E-03,  1.651300043E-01
4.024785757E-01, 2.511362778E-03,  1.676100045E-01
4.055841863E-01, 2.500108443E-03,  1.700399965E-01
4.087007940E-01, 2.489767037E-03,  1.723700017E-01
4.118283093E-01, 2.480443800E-03,  1.746200025E-01
4.149666429E-01, 2.472127089E-03,  1.767600030E-01
4.181156456E-01, 2.464925637E-03,  1.787900031E-01
4.212752879E-01, 2.458822448E-03,  1.807000041E-01
4.244453907E-01, 2.453918336E-03,  1.824800074E-01
4.276258647E-01, 2.450198401E-03,  1.841499954E-01
4.308166206E-01, 2.447738079E-03,  1.856400073E-01
4.340174794E-01, 2.446594881E-03,  1.870100051E-01
4.372283220E-01, 2.446729224E-03,  1.881799996E-01
4.404490292E-01, 2.448337618E-03,  1.892099977E-01
4.436794519E-01, 2.451271052E-03,  1.900600046E-01
4.469194710E-01, 2.455624053E-03,  1.906799972E-01
4.501688778E-01, 2.461479744E-03,  1.911700070E-01
4.534275532E-01, 2.468729159E-03,  1.913899928E-01
4.566953778E-01, 2.477621427E-03,  1.914300025E-01
4.599721134E-01, 2.488013590E-03,  1.912599951E-01
4.632576406E-01, 2.499864670E-03,  1.907999963E-01
4.665518105E-01, 2.513460815E-03,  1.901700050E-01
4.698544145E-01, 2.528662793E-03,  1.892800033E-01
4.731652737E-01, 2.545357216E-03,  1.880600005E-01
4.764842689E-01, 2.563786693E-03,  1.866600066E-01
4.798111618E-01, 2.583983354E-03,  1.849700063E-01
4.831458032E-01, 2.605714602E-03,  1.829500049E-01
4.864880145E-01, 2.629078925E-03,  1.806699932E-01
4.898376465E-01, 2.654353157E-03,  1.781300008E-01
4.931944907E-01, 2.681353129E-03,  1.752399951E-01
4.965583980E-01, 2.709880471E-03,  1.720100045E-01
4.999292195E-01, 2.740166849E-03,  1.685100049E-01
5.033067465E-01, 2.772390610E-03,  1.646800041E-01
5.066908002E-01, 2.806362696E-03,  1.604799926E-01
5.100812912E-01, 2.841867972E-03,  1.559299976E-01
5.134780407E-01, 2.879091771E-03,  1.510400027E-01
5.168808699E-01, 2.918306971E-03,  1.458300054E-01
5.202897191E-01, 2.959347796E-03,  1.402100027E-01
5.237043500E-01, 3.001999110E-03,  1.342000067E-01
5.271247625E-01, 3.046229947E-03,  1.278399974E-01
5.305507779E-01, 3.092233324E-03,  1.210800037E-01
5.339823365E-01, 3.140181769E-03,  1.139699966E-01
5.374191999E-01, 3.189883661E-03,  1.064200029E-01
5.408614874E-01, 3.241191385E-03,  9.845600277E-02
5.443089604E-01, 3.294097725E-03,  9.010799974E-02
5.477616787E-01, 3.348618979E-03,  8.134599775E-02
5.512195230E-01, 3.404862247E-03,  7.217299938E-02
5.546824932E-01, 3.462862689E-03,  6.259199977E-02
5.581504703E-01, 3.522460116E-03,  5.256899819E-02
5.616235137E-01, 3.583569778E-03,  4.211200029E-02
5.651015639E-01, 3.646171885E-03,  3.124600090E-02
5.685847402E-01, 3.710239893E-03,  1.995399967E-02
5.720728636E-01, 3.775751684E-03,  8.235200308E-03
5.755661130E-01, 3.842685604E-03,  -3.906199941E-03
5.790644884E-01, 3.911091015E-03,  -1.646799967E-02
5.825679898E-01, 3.980845213E-03,  -2.944999933E-02
5.860767365E-01, 4.051102791E-03,  -4.285499826E-02
5.895906687E-01, 4.119010642E-03,  -5.667100102E-02
5.931099653E-01, 4.180989694E-03,  -7.088699937E-02
5.966346264E-01, 4.247694742E-03,  -8.549600095E-02
6.001648307E-01, 4.335184116E-03,  -1.005000025E-01
6.037005186E-01, 4.429981578E-03,  -1.158699989E-01
6.072419286E-01, 4.511826206E-03,  -1.316100061E-01
6.107890606E-01, 4.585624207E-03,  -1.476999968E-01
6.143419743E-01, 4.659989849E-03,  -1.641300023E-01
6.179008484E-01, 4.735722672E-03,  -1.808699965E-01
6.214657426E-01, 4.812417552E-03,  -1.979099959E-01
6.250367761E-01, 4.889570177E-03,  -2.152300030E-01
6.286140084E-01, 4.966819659E-03,  -2.327899933E-01
6.321974993E-01, 5.043900572E-03,  -2.505800128E-01
6.357874274E-01, 5.120565183E-03,  -2.685700059E-01
6.393837333E-01, 5.196587183E-03,  -2.867200077E-01
6.429865360E-01, 5.271748640E-03,  -3.050000072E-01
6.465959549E-01, 5.345810670E-03,  -3.233700097E-01
6.502119303E-01, 5.418533925E-03,  -3.418000042E-01
6.538345814E-01, 5.489680450E-03,  -3.602499962E-01
6.574639082E-01, 5.558990873E-03,  -3.786599934E-01
6.610997915E-01, 5.626198370E-03,  -3.969900012E-01
6.647424102E-01, 5.691048689E-03,  -4.151999950E-01
6.683915854E-01, 5.753282458E-03,  -4.332300127E-01
6.720473170E-01, 5.812613294E-03,  -4.510200024E-01
6.757094860E-01, 5.868753418E-03,  -4.685299993E-01
6.793780923E-01, 5.921436939E-03,  -4.857000113E-01
6.830529571E-01, 5.970410071E-03,  -5.024600029E-01
