x y sdr tke
 7.500000000E-01 5.030567944E-02 2.567765478E-05 3.436072730E-04
 7.500000000E-01 5.031192303E-02 2.510616650E-05 3.434186219E-04
 7.500000000E-01 5.031830072E-02 2.454778951E-05 3.431907389E-04
 7.500000000E-01 5.032479763E-02 2.400358608E-05 3.429243516E-04
 7.500000000E-01 5.033143610E-02 2.347160989E-05 3.426187614E-04
 7.500000000E-01 5.033820868E-02 2.295242848E-05 3.422744630E-04
 7.500000000E-01 5.034511536E-02 2.244579264E-05 3.418917186E-04
 7.500000000E-01 5.035216361E-02 2.195093657E-05 3.414702660E-04
 7.500000000E-01 5.035935342E-02 2.146778388E-05 3.410103091E-04
 7.500000000E-01 5.036669225E-02 2.099575431E-05 3.405117022E-04
 7.500000000E-01 5.037418008E-02 2.053466051E-05 3.399745328E-04
 7.500000000E-01 5.038182437E-02 2.008386946E-05 3.393983934E-04
 7.500000000E-01 5.038961768E-02 1.964384319E-05 3.387843026E-04
 7.500000000E-01 5.039756745E-02 1.921394505E-05 3.381318529E-04
 7.500000000E-01 5.040568113E-02 1.879359843E-05 3.374405205E-04
 7.500000000E-01 5.041396618E-02 1.838246317E-05 3.367101599E-04
 7.500000000E-01 5.042241514E-02 1.798083031E-05 3.359416733E-04
 7.500000000E-01 5.043102801E-02 1.758849248E-05 3.351353225E-04
 7.500000000E-01 5.043982714E-02 1.720436376E-05 3.342892742E-04
 7.500000000E-01 5.044880509E-02 1.682872426E-05 3.334045468E-04
 7.500000000E-01 5.045795441E-02 1.646177589E-05 3.324822173E-04
 7.500000000E-01 5.046729743E-02 1.610253457E-05 3.315204231E-04
 7.500000000E-01 5.047683418E-02 1.575095666E-05 3.305195132E-04
 7.500000000E-01 5.048656464E-02 1.540696940E-05 3.294797789E-04
 7.500000000E-01 5.049648881E-02 1.507049274E-05 3.284015693E-04
 7.500000000E-01 5.050661415E-02 1.474125020E-05 3.272847680E-04
 7.500000000E-01 5.051694810E-02 1.441892618E-05 3.261289094E-04
 7.500000000E-01 5.052749068E-02 1.410345067E-05 3.249343426E-04
 7.500000000E-01 5.053824186E-02 1.379468631E-05 3.237013589E-04
 7.500000000E-01 5.054922402E-02 1.349204285E-05 3.224281536E-04
 7.500000000E-01 5.056042224E-02 1.319591684E-05 3.211171424E-04
 7.500000000E-01 5.057185143E-02 1.290574255E-05 3.197666374E-04
 7.500000000E-01 5.058351159E-02 1.262155456E-05 3.183775116E-04
 7.500000000E-01 5.059541017E-02 1.234314914E-05 3.169495903E-04
 7.500000000E-01 5.060754716E-02 1.207045716E-05 3.154833394E-04
 7.500000000E-01 5.061994493E-02 1.180297113E-05 3.139768378E-04
 7.500000000E-01 5.063258111E-02 1.154111123E-05 3.124333161E-04
 7.500000000E-01 5.064547062E-02 1.128452732E-05 3.108517849E-04
 7.500000000E-01 5.065863580E-02 1.103276736E-05 3.092302941E-04
 7.500000000E-01 5.067206174E-02 1.078606692E-05 3.075712302E-04
 7.500000000E-01 5.068576336E-02 1.054416225E-05 3.058738948E-04
 7.500000000E-01 5.069974065E-02 1.030706335E-05 3.041393647E-04
 7.500000000E-01 5.071400851E-02 1.007443552E-05 3.023662139E-04
 7.500000000E-01 5.072855949E-02 9.846412468E-06 3.005565668E-04
 7.500000000E-01 5.074341595E-02 9.622653124E-06 2.987088228E-04
 7.500000000E-01 5.075857043E-02 9.403201148E-06 2.968244080E-04
 7.500000000E-01 5.077403039E-02 9.187978321E-06 2.949039335E-04
 7.500000000E-01 5.078980327E-02 8.976883692E-06 2.929476905E-04
 7.500000000E-01 5.080591142E-02 8.769563465E-06 2.909535251E-04
 7.500000000E-01 5.082233250E-02 8.566337783E-06 2.889258030E-04
 7.500000000E-01 5.083909631E-02 8.366861948E-06 2.868624579E-04
 7.500000000E-01 5.085619539E-02 8.171186892E-06 2.847653232E-04
 7.500000000E-01 5.087364465E-02 7.979129805E-06 2.826338168E-04
 7.500000000E-01 5.089145154E-02 7.790638847E-06 2.804686956E-04
 7.500000000E-01 5.090962350E-02 7.605645806E-06 2.782705997E-04
 7.500000000E-01 5.092816055E-02 7.424156138E-06 2.760410425E-04
 7.500000000E-01 5.094707012E-02 7.246098903E-06 2.737807226E-04
 7.500000000E-01 5.096637458E-02 7.071258096E-06 2.714883594E-04
 7.500000000E-01 5.098606646E-02 6.899729215E-06 2.691666887E-04
 7.500000000E-01 5.100616813E-02 6.731328085E-06 2.668148372E-04
 7.500000000E-01 5.102667212E-02 6.566142929E-06 2.644355700E-04
 7.500000000E-01 5.104759336E-02 6.404074156E-06 2.620291489E-04
 7.500000000E-01 5.106893927E-02 6.245058557E-06 2.595963015E-04
 7.500000000E-01 5.109071732E-02 6.089076578E-06 2.571383957E-04
 7.500000000E-01 5.111294985E-02 5.935981335E-06 2.546548203E-04
 7.500000000E-01 5.113562942E-02 5.785838766E-06 2.521483111E-04
 7.500000000E-01 5.115877092E-02 5.638594757E-06 2.496197412E-04
 7.500000000E-01 5.118238181E-02 5.494212019E-06 2.470702457E-04
 7.500000000E-01 5.120646954E-02 5.352665539E-06 2.445012215E-04
 7.500000000E-01 5.123105645E-02 5.213858913E-06 2.419126831E-04
 7.500000000E-01 5.125615001E-02 5.077775768E-06 2.393061150E-04
 7.500000000E-01 5.128173530E-02 4.944515240E-06 2.366853005E-04
 7.500000000E-01 5.130785704E-02 4.813864052E-06 2.340479259E-04
 7.500000000E-01 5.133450776E-02 4.685903150E-06 2.313974110E-04
 7.500000000E-01 5.136169493E-02 4.560622074E-06 2.287354728E-04
 7.500000000E-01 5.138944089E-02 4.437937150E-06 2.260622277E-04
 7.500000000E-01 5.141775310E-02 4.317852017E-06 2.233796404E-04
 7.500000000E-01 5.144664645E-02 4.200323019E-06 2.206886129E-04
 7.500000000E-01 5.147612095E-02 4.085381534E-06 2.179917938E-04
 7.500000000E-01 5.150619894E-02 3.972970717E-06 2.152897359E-04
 7.500000000E-01 5.153688788E-02 3.863076927E-06 2.125840838E-04
 7.500000000E-01 5.156820267E-02 3.755682201E-06 2.098762634E-04
 7.500000000E-01 5.160015821E-02 3.650761073E-06 2.071675553E-04
 7.500000000E-01 5.163276196E-02 3.548306950E-06 2.044597059E-04
 7.500000000E-01 5.166602880E-02 3.448294819E-06 2.017539664E-04
 7.500000000E-01 5.169997364E-02 3.350705583E-06 1.990517194E-04
 7.500000000E-01 5.173461139E-02 3.255520141E-06 1.963543618E-04
 7.500000000E-01 5.176995695E-02 3.162714393E-06 1.936630579E-04
 7.500000000E-01 5.180601776E-02 3.072282198E-06 1.909795392E-04
 7.500000000E-01 5.184280872E-02 2.984202183E-06 1.883050718E-04
 7.500000000E-01 5.188035965E-02 2.898418415E-06 1.856398012E-04
 7.500000000E-01 5.191867054E-02 2.814948402E-06 1.829860994E-04
 7.500000000E-01 5.195776373E-02 2.733756446E-06 1.803447085E-04
 7.500000000E-01 5.199765414E-02 2.654815034E-06 1.777165598E-04
 7.500000000E-01 5.203835666E-02 2.578103931E-06 1.751027739E-04
