x y mut
 7.500000000E-01 5.008778721E-02 2.215010643E+00
 7.500000000E-01 5.008964241E-02 2.302654743E+00
 7.500000000E-01 5.009153485E-02 2.392646074E+00
 7.500000000E-01 5.009346455E-02 2.485101938E+00
 7.500000000E-01 5.009543896E-02 2.580326319E+00
 7.500000000E-01 5.009743571E-02 2.677185059E+00
 7.500000000E-01 5.009949207E-02 2.777431726E+00
 7.500000000E-01 5.010157824E-02 2.879650354E+00
 7.500000000E-01 5.010370165E-02 2.984326124E+00
 7.500000000E-01 5.010586977E-02 3.091675282E+00
 7.500000000E-01 5.010809004E-02 3.202012777E+00
 7.500000000E-01 5.011034012E-02 3.314350843E+00
 7.500000000E-01 5.011264980E-02 3.430119038E+00
 7.500000000E-01 5.011498928E-02 3.547856808E+00
 7.500000000E-01 5.011738837E-02 3.668908358E+00
 7.500000000E-01 5.011983216E-02 3.792557478E+00
 7.500000000E-01 5.012232065E-02 3.918929577E+00
 7.500000000E-01 5.012486875E-02 4.048625946E+00
 7.500000000E-01 5.012746155E-02 4.180827618E+00
 7.500000000E-01 5.013009906E-02 4.315660000E+00
 7.500000000E-01 5.013279617E-02 4.453724861E+00
 7.500000000E-01 5.013555288E-02 4.595058918E+00
 7.500000000E-01 5.013835430E-02 4.738925934E+00
 7.500000000E-01 5.014121532E-02 4.885933876E+00
 7.500000000E-01 5.014413595E-02 5.036208630E+00
 7.500000000E-01 5.014711618E-02 5.189589500E+00
 7.500000000E-01 5.015015602E-02 5.346109390E+00
 7.500000000E-01 5.015325546E-02 5.505699635E+00
 7.500000000E-01 5.015641451E-02 5.668297291E+00
 7.500000000E-01 5.015963316E-02 5.834026337E+00
 7.500000000E-01 5.016292632E-02 6.003492355E+00
 7.500000000E-01 5.016627908E-02 6.175860405E+00
 7.500000000E-01 5.016970634E-02 6.351926327E+00
 7.500000000E-01 5.017320067E-02 6.531239033E+00
 7.500000000E-01 5.017676204E-02 6.713731289E+00
 7.500000000E-01 5.018039793E-02 6.899716854E+00
 7.500000000E-01 5.018410832E-02 7.089221954E+00
 7.500000000E-01 5.018789321E-02 7.282176971E+00
 7.500000000E-01 5.019175261E-02 7.478418827E+00
 7.500000000E-01 5.019569397E-02 7.678446770E+00
 7.500000000E-01 5.019970238E-02 7.881340027E+00
 7.500000000E-01 5.020380765E-02 8.088538170E+00
 7.500000000E-01 5.020798743E-02 8.298933983E+00
 7.500000000E-01 5.021224916E-02 8.512834549E+00
 7.500000000E-01 5.021660775E-02 8.730820656E+00
 7.500000000E-01 5.022104830E-02 8.952075958E+00
 7.500000000E-01 5.022557825E-02 9.177086830E+00
 7.500000000E-01 5.023020506E-02 9.406056404E+00
 7.500000000E-01 5.023491383E-02 9.638086319E+00
 7.500000000E-01 5.023972690E-02 9.874206543E+00
 7.500000000E-01 5.024463683E-02 1.011406803E+01
 7.500000000E-01 5.024965107E-02 1.035796070E+01
 7.500000000E-01 5.025476217E-02 1.060544777E+01
 7.500000000E-01 5.025997013E-02 1.085636997E+01
 7.500000000E-01 5.026528984E-02 1.111137199E+01
 7.500000000E-01 5.027072132E-02 1.137037659E+01
 7.500000000E-01 5.027624965E-02 1.163260460E+01
 7.500000000E-01 5.028190464E-02 1.189939308E+01
 7.500000000E-01 5.028767139E-02 1.216987419E+01
 7.500000000E-01 5.029354990E-02 1.244397545E+01
